MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
4683,,"Victory, World War I Black Soldiers’ Memorial",,,1927,"the people of the State of Illinois, represented in the 54th General Assembly",41.83075,-87.61714,,"Chicago","Douglas (Bronzeville)","Cook County","Illinois","It is at the intersection of South Martin Luther King Drive and East 35th Street, in the median on South Martin Luther King Drive. ",,https://www.hmdb.org/m.asp?m=4683,1/13/2008,4/21/2025
10653,,"Lion House, Lincoln Park Zoo","Perkins, Fellows & Hamilton, architects; 1912","Chicago Landmark",2005,"Commission on Chicago Landmarks; City of Chicago",41.92132,-87.63371,"2001 N Clark Street","Chicago","Lincoln Park","Cook County","Illinois","It can be reached from the intersection of N. Stockton Drive and W. Webster Avenue. ",,https://www.hmdb.org/m.asp?m=10653,8/26/2008,3/10/2025
10656,,"Kennison Boulder Monument",,,1903,"Sons of the Revolution, the Sons of the American Revolution, and the Daughters of the American Revolution",41.91667,-87.63450,,"Chicago","Lincoln Park","Cook County","Illinois","It can be reached from the intersection of North Clark Street and West Wisconsin Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=10656,8/26/2008,1/30/2023
10657,,"Hidden Truths","The Chicago City Cemetery and Lincoln Park, Then and Now",,2008,"Northwestern University CIRA and URGC Research Grants",41.91667,-87.63454,,"Chicago","Lincoln Park","Cook County","Illinois","It is at the intersection of North Clark Street and West Wisconsin Street, on the right when traveling north on North Clark Street. ",,https://www.hmdb.org/m.asp?m=10657,8/26/2008,1/30/2023
10659,,"Lincoln Park Transitions","Hidden Truths","The Chicago City Cemetery and Lincoln Park, Then and Now",2008,"Northwestern University CIRA and URGC Research Grants",41.91578,-87.63197,,"Chicago","Lincoln Park","Cook County","Illinois","It can be reached from N Stockton Drive. <font color=red> Reported missing.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=10659,8/26/2008,2/9/2025
10660,,"City Cemetery","Hidden Truths","The Chicago City Cemetery and Lincoln Park, Then and Now",2008,"Northwestern University CIRA and URGC Research Grants",41.91461,-87.63169,,"Chicago","Lincoln Park","Cook County","Illinois","It can be reached from North Stockton Drive, on the right when traveling north. <font color=red> Reported missing.</font>",Confirmed Missing,https://www.hmdb.org/m.asp?m=10660,8/26/2008,1/30/2023
10663,,"Potter's Field","Hidden Truths",,2008,"Northwestern University CIRA and URGC Research Grants",41.91392,-87.63048,,"Chicago","Lincoln Park","Cook County","Illinois","It can be reached from W LaSalle Drive. ",,https://www.hmdb.org/m.asp?m=10663,8/26/2008,2/9/2025
10664,,"Couch Tomb","Hidden Truths",,2008,"Northwestern University CIRA and URGC Research Grants",41.91318,-87.63180,,"Chicago","Lincoln Park","Cook County","Illinois","It is at the intersection of West La Salle Street and North Stockton Street, on the right when traveling east on West La Salle Street. ",,https://www.hmdb.org/m.asp?m=10664,8/26/2008,1/30/2023
10665,,"Catholic Cemetery","Hidden Truths",,2008,"Northwestern University CIRA and URGC Research Grants",41.91134,-87.62994,,"Chicago","Gold Coast","Cook County","Illinois","It is at the intersection of North Avenue and North Dearborn Street, on the right when traveling west on North Avenue. ",,https://www.hmdb.org/m.asp?m=10665,8/26/2008,1/30/2023
34975,,"Auditorium Building","Adler and Sullivan, architects","1889",,"Commission on Chicago Historical and Architectural Landmarks",41.87587,-87.62459,"430 South Michigan Avenue","Chicago","The Loop District","Cook County","Illinois","It is at the intersection of South Michigan Avenue and East Congress Parkway, on the right when traveling south on South Michigan Avenue. ",,https://www.hmdb.org/m.asp?m=34975,9/2/2010,12/11/2024
